antecedents,consequents,orig_support,orig_confidence,Decision Tree_support,Decision Tree_confidence,Logistic Regression_support,Logistic Regression_confidence,Random Forest_support,Random Forest_confidence,KNN_support,KNN_confidence,support,confidence
"frozenset({'c_felony', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.313,0.926,0.313,0.926
"frozenset({'c_felony', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.156,0.926,0.156,0.926
frozenset({'juv_fel=0'}),frozenset({'risk_low'}),,,,,,,,,0.879,0.926,0.879,0.926
"frozenset({'c_misdemeanor', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.256,0.926,0.256,0.926
"frozenset({'juv_misd=0', 'n_recidive', 'male', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.926,0.108,0.926
frozenset({'Age (decade)_30.0'}),frozenset({'risk_low'}),,,,,,,,,0.254,0.925,0.254,0.925
"frozenset({'c_felony', 'male', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.133,0.925,0.133,0.925
"frozenset({'n_recidive', 'male', 'juv_fel=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.113,0.925,0.113,0.925
"frozenset({'c_felony', 'male', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.132,0.924,0.132,0.924
frozenset({'juv_misd=0'}),frozenset({'risk_low'}),,,,,,,,,0.877,0.924,0.877,0.924
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'male', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.118,0.923,0.118,0.923
"frozenset({'recidive', 'juv_misd=0', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.129,0.922,0.129,0.922
"frozenset({'Age (decade)_20.0', 'male', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.116,0.922,0.116,0.922
"frozenset({'recidive', 'c_misdemeanor', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.116,0.922,0.116,0.922
"frozenset({'male', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.197,0.921,0.197,0.921
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'male', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.921,0.108,0.921
"frozenset({'recidive', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.137,0.92,0.137,0.92
"frozenset({'juv_misd=0', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.539,0.919,0.539,0.919
"frozenset({'c_felony', 'Age (decade)_20.0', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.127,0.918,0.127,0.918
"frozenset({'juv_misd=0', 'c_misdemeanor', 'juv_fel=0', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.917,0.108,0.917
"frozenset({'juv_misd=0', 'c_felony', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.156,0.917,0.156,0.917
"frozenset({'c_felony', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.563,0.917,0.563,0.917
"frozenset({'priors_Few', 'c_felony', 'male', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.117,0.915,0.117,0.915
"frozenset({'juv_misd=0', 'c_felony', 'male', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.187,0.915,0.187,0.915
"frozenset({'juv_misd=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.565,0.915,0.565,0.915
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.15,0.914,0.15,0.914
"frozenset({'c_felony', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.166,0.913,0.166,0.913
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'male', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.2,0.913,0.2,0.913
frozenset({'c_felony'}),frozenset({'risk_low'}),,,,,,,,,0.595,0.913,0.595,0.913
"frozenset({'juv_misd=0', 'recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.204,0.913,0.204,0.913
"frozenset({'juv_misd=0', 'n_recidive', 'juv_fel=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.147,0.912,0.147,0.912
"frozenset({'c_felony', 'Age (decade)_20.0', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.202,0.912,0.202,0.912
"frozenset({'c_felony', 'Age (decade)_20.0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.218,0.91,0.218,0.91
"frozenset({'Age (decade)_20.0', 'juv_fel=0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.152,0.909,0.152,0.909
"frozenset({'Age (decade)_20.0', 'n_recidive'})",frozenset({'risk_low'}),,,,,,,,,0.156,0.908,0.156,0.908
"frozenset({'juv_misd=0', 'c_misdemeanor', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.133,0.907,0.133,0.907
"frozenset({'recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.216,0.907,0.216,0.907
"frozenset({'juv_misd=0', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.216,0.905,0.216,0.905
"frozenset({'priors_Few', 'juv_fel=0', 'male', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.102,0.904,0.102,0.904
"frozenset({'juv_misd=0', 'priors_Few', 'male', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.101,0.903,0.101,0.903
"frozenset({'recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.348,0.903,0.348,0.903
"frozenset({'juv_misd=0', 'recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.322,0.903,0.322,0.903
"frozenset({'juv_misd=0', 'priors_Few', 'male', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.144,0.902,0.144,0.902
"frozenset({'Age (decade)_20.0', 'male', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.158,0.901,0.158,0.901
"frozenset({'juv_misd=0', 'c_misdemeanor', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.112,0.9,0.112,0.9
"frozenset({'c_misdemeanor', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.141,0.9,0.141,0.9
"frozenset({'Age (decade)_20.0', 'male', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.112,0.9,0.112,0.9
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.155,0.899,0.155,0.899
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.266,0.899,0.266,0.899
"frozenset({'c_misdemeanor', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.12,0.899,0.12,0.899
"frozenset({'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.23,0.899,0.23,0.899
"frozenset({'Age (decade)_20.0', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.287,0.898,0.287,0.898
"frozenset({'Age (decade)_20.0', 'male', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.17,0.897,0.17,0.897
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.28,0.896,0.28,0.896
"frozenset({'juv_misd=0', 'c_felony', 'juv_fel=0', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.214,0.896,0.214,0.896
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'juv_fel=0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.133,0.895,0.133,0.895
"frozenset({'c_felony', 'recidive', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.232,0.894,0.232,0.894
"frozenset({'Age (decade)_20.0', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.305,0.893,0.305,0.893
"frozenset({'juv_misd=0', 'recidive', 'priors_Few', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.145,0.893,0.145,0.893
"frozenset({'juv_misd=0', 'female'})",frozenset({'risk_low'}),,,,,,,,,0.172,0.893,0.172,0.893
"frozenset({'juv_misd=0', 'c_felony', 'recidive', 'male', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.113,0.893,0.113,0.893
"frozenset({'juv_misd=0', 'female', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.171,0.892,0.171,0.892
"frozenset({'juv_misd=0', 'c_felony', 'male', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.125,0.891,0.125,0.891
"frozenset({'juv_misd=0', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.347,0.891,0.347,0.891
"frozenset({'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.378,0.89,0.378,0.89
"frozenset({'recidive', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.112,0.888,0.112,0.888
"frozenset({'juv_misd=0', 'recidive', 'juv_fel=0', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.104,0.888,0.104,0.888
"frozenset({'c_felony', 'male', 'juv_fel=0', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.107,0.888,0.107,0.888
"frozenset({'c_felony', 'juv_fel=0', 'male', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.124,0.888,0.124,0.888
"frozenset({'c_felony', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.154,0.888,0.154,0.888
"frozenset({'male', 'recidive', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.107,0.887,0.107,0.887
"frozenset({'juv_misd=0', 'male', 'recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.235,0.887,0.235,0.887
"frozenset({'c_felony', 'recidive', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.14,0.887,0.14,0.887
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'priors_Few', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.136,0.887,0.136,0.887
"frozenset({'c_felony', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.258,0.886,0.258,0.886
"frozenset({'juv_misd=0', 'c_misdemeanor', 'juv_fel=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.109,0.886,0.109,0.886
"frozenset({'c_felony', 'Age (decade)_20.0', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.138,0.885,0.138,0.885
"frozenset({'juv_misd=0', 'recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.381,0.885,0.381,0.885
"frozenset({'c_felony', 'Age (decade)_20.0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.146,0.885,0.146,0.885
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.237,0.885,0.237,0.885
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.332,0.885,0.332,0.885
frozenset({'female'}),frozenset({'risk_low'}),,,,,,,,,0.174,0.884,0.174,0.884
"frozenset({'c_felony', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.256,0.884,0.256,0.884
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.223,0.884,0.223,0.884
"frozenset({'recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.408,0.884,0.408,0.884
"frozenset({'c_felony', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.238,0.883,0.238,0.883
"frozenset({'female', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.172,0.883,0.172,0.883
"frozenset({'juv_misd=0', 'Age (decade)_20.0'})",frozenset({'risk_low'}),,,,,,,,,0.347,0.883,0.347,0.883
"frozenset({'juv_misd=0', 'juv_fel=0', 'male', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.158,0.882,0.158,0.882
"frozenset({'juv_misd=0', 'priors_Few', 'c_felony', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.125,0.882,0.125,0.882
"frozenset({'recidive', 'Age (decade)_20.0', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.173,0.882,0.173,0.882
"frozenset({'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.354,0.881,0.354,0.881
"frozenset({'juv_misd=0', 'priors_Few', 'juv_fel=0', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.881,0.108,0.881
"frozenset({'c_felony', 'Age (decade)_20.0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.134,0.879,0.134,0.879
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.111,0.879,0.111,0.879
frozenset({'Age (decade)_20.0'}),frozenset({'risk_low'}),,,,,,,,,0.374,0.879,0.374,0.879
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.118,0.879,0.118,0.879
"frozenset({'Age (decade)_20.0', 'c_misdemeanor', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.117,0.878,0.117,0.878
"frozenset({'juv_misd=0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.406,0.877,0.406,0.877
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.182,0.877,0.182,0.877
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.17,0.877,0.17,0.877
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.17,0.877,0.17,0.877
"frozenset({'Age (decade)_20.0', 'male', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.189,0.877,0.189,0.877
"frozenset({'Age (decade)_20.0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.184,0.876,0.184,0.876
"frozenset({'recidive', 'Age (decade)_20.0', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.118,0.876,0.118,0.876
"frozenset({'Age (decade)_20.0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.197,0.875,0.197,0.875
"frozenset({'Age (decade)_20.0', 'recidive', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.129,0.875,0.129,0.875
"frozenset({'male', 'juv_fel=0', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.144,0.875,0.144,0.875
frozenset({'recidive'}),frozenset({'risk_low'}),,,,,,,,,0.439,0.875,0.439,0.875
"frozenset({'c_felony', 'male', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.124,0.874,0.124,0.874
"frozenset({'Age (decade)_20.0', 'c_misdemeanor'})",frozenset({'risk_low'}),,,,,,,,,0.118,0.869,0.118,0.869
"frozenset({'juv_misd=0', 'male', 'juv_fel=0', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.128,0.868,0.128,0.868
"frozenset({'juv_misd=0', 'male', 'priors_Many', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.107,0.868,0.107,0.868
"frozenset({'c_felony', 'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.121,0.868,0.121,0.868
"frozenset({'juv_misd=0', 'recidive', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.252,0.868,0.252,0.868
"frozenset({'c_felony', 'recidive', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.27,0.866,0.27,0.866
"frozenset({'recidive', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.121,0.865,0.121,0.865
"frozenset({'juv_misd=0', 'recidive', 'Age (decade)_30.0'})",frozenset({'risk_low'}),,,,,,,,,0.111,0.864,0.111,0.864
"frozenset({'recidive', 'juv_misd=0', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.185,0.864,0.185,0.864
"frozenset({'c_felony', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.298,0.863,0.298,0.863
"frozenset({'juv_misd=0', 'recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.273,0.863,0.273,0.863
"frozenset({'juv_misd=0', 'priors_Many', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.862,0.108,0.862
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'recidive', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.142,0.862,0.142,0.862
"frozenset({'recidive', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.202,0.861,0.202,0.861
"frozenset({'juv_misd=0', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.198,0.861,0.198,0.861
"frozenset({'juv_misd=0', 'c_felony', 'juv_fel=0', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.13,0.86,0.13,0.86
"frozenset({'c_felony', 'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.157,0.86,0.157,0.86
"frozenset({'male', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.166,0.86,0.166,0.86
"frozenset({'Age (decade)_20.0', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.218,0.859,0.218,0.859
"frozenset({'c_felony', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.138,0.859,0.138,0.859
"frozenset({'recidive', 'c_felony', 'Age (decade)_20.0', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.141,0.859,0.141,0.859
"frozenset({'juv_misd=0', 'male', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.145,0.856,0.145,0.856
"frozenset({'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.162,0.854,0.162,0.854
"frozenset({'juv_misd=0', 'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.146,0.854,0.146,0.854
"frozenset({'juv_misd=0', 'priors_Many', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.12,0.854,0.12,0.854
"frozenset({'c_felony', 'female', 'juv_misd=0'})",frozenset({'risk_low'}),,,,,,,,,0.106,0.852,0.106,0.852
"frozenset({'juv_misd=0', 'female', 'juv_fel=0', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.104,0.85,0.104,0.85
"frozenset({'c_felony', 'female'})",frozenset({'risk_low'}),,,,,,,,,0.107,0.849,0.107,0.849
"frozenset({'c_felony', 'female', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.105,0.846,0.105,0.846
"frozenset({'recidive', 'male', 'juv_fel=0', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.101,0.845,0.101,0.845
"frozenset({'juv_misd=0', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.163,0.845,0.163,0.845
frozenset({'priors_Many'}),frozenset({'risk_low'}),,,,,,,,,0.185,0.844,0.185,0.844
"frozenset({'white', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.185,0.838,0.185,0.838
"frozenset({'juv_misd=0', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.318,0.834,0.318,0.834
"frozenset({'male', 'recidive', 'priors_Many'})",frozenset({'risk_low'}),,,,,,,,,0.118,0.832,0.118,0.832
"frozenset({'juv_misd=0', 'c_felony', 'male', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.14,0.83,0.14,0.83
"frozenset({'juv_misd=0', 'white', 'priors_Few', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.829,0.108,0.829
"frozenset({'juv_misd=0', 'white', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.244,0.827,0.244,0.827
"frozenset({'c_felony', 'white', 'juv_fel=0', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.826,0.108,0.826
"frozenset({'white', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.321,0.823,0.321,0.823
"frozenset({'recidive', 'priors_Many', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.112,0.821,0.112,0.821
"frozenset({'c_felony', 'white', 'male', 'juv_fel=0'})",frozenset({'risk_low'}),,,,,,,,,0.141,0.818,0.141,0.818
"frozenset({'juv_misd=0', 'white'})",frozenset({'risk_low'}),,,,,,,,,0.318,0.817,0.318,0.817
"frozenset({'c_felony', 'white', 'priors_Few'})",frozenset({'risk_low'}),,,,,,,,,0.108,0.816,0.108,0.816
"frozenset({'priors_Many', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.13,0.813,0.13,0.813
"frozenset({'white', 'male'})",frozenset({'risk_low'}),,,,,,,,,0.247,0.813,0.247,0.813
"frozenset({'juv_misd=0', 'white', 'male', 'c_felony'})",frozenset({'risk_low'}),,,,,,,,,0.14,0.807,0.14,0.807
frozenset({'white'}),frozenset({'risk_low'}),,,,,,,,,0.321,0.803,0.321,0.803
"frozenset({'juv_misd=0', 'priors_Many', 'recidive'})",frozenset({'risk_low'}),,,,,,,,,0.111,0.803,0.111,0.803
